task,priority,base_cost,base_points,source,source_kind,source_member,sha256,bytes,valid,candidate_cost,candidate_points,delta_cost,delta_points,reason
task133,P0_lt16,21278,15.034571,work/final-all-sources-v5-incremental/task133.onnx,file,,c9003c2c3d07cfc818156206c772865f45942b75550b50d8ae7c890bf3237fcc,114,False,0,25.0,,,
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/doctorwang_wangpre/submission.zip::task133.onnx,zip,task133.onnx,cda35f0e26aac40cc26fe22a5fccaba8ea1eaf7b17118437830c00ec3342e7e9,572,False,100,20.394829814011906,,,
task133,P0_lt16,21278,15.034571,work/candidate_sources/beicicc_6645_repaired_current/task133.onnx,file,,624d429a5380e03725ec38c1a9a178a63484326dc60231a5c7b7eb7d28318ced,875,False,,,,,ValueError: official scorer rejected model
task133,P0_lt16,21278,15.034571,outputs/onnxopt-fixed-submission.zip::task133.onnx,zip,task133.onnx,24695b81e14b745157159e96583d230e75ce4e3b2b354c4a32e59d116add442b,3694,False,,,,,ValidationError: Field 'type' of 'value_info' is required but missing.
task133,P0_lt16,21278,15.034571,outputs/onnxopt-optimized-submission.zip::task133.onnx,zip,task133.onnx,7601793e20fde35e33370b0a686c13e4346f79749d94ae1c3063f78ee193c798,3694,False,,,,,ValidationError: Field 'type' of 'value_info' is required but missing.
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/latest_massi_part7/submission.zip::task133.onnx,zip,task133.onnx,687403e301eb56a72f080985e3a0582ec5ef07c7e2803b00eae6972121f73aeb,6327,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_80'
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/latest_hongbin_sparse/submission.zip::task133.onnx,zip,task133.onnx,07b32d9ca16d59ecf758426f07db1ded5e3021c1f246dc5b89e8d87e516cdf1a,6449,False,,,,,"InferenceError: [ShapeInferenceError] (op_type:ScatterND): data typestr: T, has unsupported type: sparse_tensor(uint8)"
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/latest_lucifer_agi_core_0709/submission.zip::task133.onnx,zip,task133.onnx,e32c4a7a83ef1e83906e6671168f04157356cc2ae6b650ff7aac5e6f5dbfd7f5,6609,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_79'
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/latest_kutenk_726153/submission.zip::task133.onnx,zip,task133.onnx,387342495b3dee33a80b27ff571cba8babb42398b79b1fb25a4bd83e2b55c536,6941,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_79'
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/latest_prv_724397/submission.zip::task133.onnx,zip,task133.onnx,6bc516ed44aa31fc4dfc82dd37004269cd0772d29a58a0821f76f27384e04b49,7039,False,,,,,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_80'
