task,path,ok,valid_all_checked,examples_checked,examples_passed,examples_failed,memory,params,cost,points,file_size,sha256,error,source_label,current_cost,delta_cost,accepted
task158,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task158.onnx,True,True,266,266,0,26178,2305,28483,14.742937302942996,14407,b1917c261d3c8867bacc3e6fac4ca6dbba7f2f45b21212d2250033dc915a3daa,,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task158.onnx,28483.0,0.0,False
task158,E:\kagglegolf\data\external\public_bundles\vyankteshdwivedi_multi_source\extracted\task158.onnx,True,True,266,266,0,192900,553,193453,12.827210132108412,26673,5f126c6c95b5e9197281b2b0130033f28d88f1c99e7b8717c68508560d5df8da,,data/external/public_bundles/vyankteshdwivedi_multi_source/extracted/task158.onnx,28483.0,-164970.0,False
task158,E:\kagglegolf\data\interim\submission1_compare\task158.onnx,True,True,266,266,0,180695,422,181117,12.893101489744463,27907,85090e99a11488b681438e36075cf9a3b178cd6416dc768ef0d51ad412a97369,,data/interim/submission1_compare/task158.onnx,28483.0,-152634.0,False
task158,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\combined_submission\task158.onnx,True,True,266,266,0,191092,366,191458,12.837576257600388,33661,c8e29907c3fb688d92926b106afb6c2133f13dd11f6cf6629a94c9bc5b1323d7,,data/external/public_bundles/kojimar_6272_minimal_onnx_assets_v1/extracted/combined_submission/task158.onnx,28483.0,-162975.0,False
task158,E:\kagglegolf\data\external\public_bundles\octaviograu_manual_rewrites_v205\extracted\submission\task158.onnx,True,True,266,266,0,461005,5167,466172,11.947690056279944,58188,5263d580cb60a24afa12641d5b52439098c7f85d63b6ad5c9cc04a2d191415a8,,data/external/public_bundles/octaviograu_manual_rewrites_v205/extracted/submission/task158.onnx,28483.0,-437689.0,False
task286,E:\kagglegolf\submissions\candidates\GOLF_20260709_101_prvsiyan_7266_72_repro\onnx\task286.onnx,True,True,265,265,0,26064,845,26909,14.799783917876258,111759,ceafce58bfa44bf34800a994ae174a2364ea977310fb967ad145ed534489475a,,submissions/candidates/GOLF_20260709_101_prvsiyan_7266_72_repro/onnx/task286.onnx,26909.0,0.0,False
task286,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task286.onnx,True,True,265,265,0,167129,1302,168431,12.965718550640606,13714,452c89917bd81728f5db1bd4efb133d57ea0ad7603343cb823fc1e7402cf8b6e,,data/external/public_bundles/jsrdcht_6029_submission_bundle/extracted/task286.onnx,26909.0,-141522.0,False
task286,E:\kagglegolf\data\kaggle_code_single_task\extracted_onnx\galaxy2025_neurogolf_public_artifact_v1\task286.onnx,True,True,265,265,0,160895,1304,162199,13.00342074458367,13742,979c3d816166a800348c4d3849115a0422e367a0c51523b98feb447d63135829,,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task286.onnx,26909.0,-135290.0,False
task286,E:\kagglegolf\data\external\public_bundles\beicicc_6645\extracted\task286.onnx,False,True,265,265,0,,1295,,,13745,72739af58b6abd0aaca9ac5e163e7d1d17ec740baa3a8a3a3889dd9ab649a3cc,,data/external/public_bundles/beicicc_6645/extracted/task286.onnx,26909.0,,False
task286,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task286.onnx,True,True,265,265,0,473514,1296,474810,11.929329997004562,14045,4df0272548bb5003c014bfcba95ddfb709b952d0710b25b2121778c0b0c8d859,,data/interim/afr1ste_6335_batchcompress_rewrite/task286.onnx,26909.0,-447901.0,False
