task,priority,base_cost,base_points,source,source_kind,source_member,sha256,bytes,valid,candidate_cost,candidate_points,delta_cost,delta_points,beats_current,reason
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/latest_lucifer_1101/submission.zip::task133.onnx,zip,task133.onnx,ea6097d14eec19feb2993341b51acb371a66c8386c805363a09316d5e0e0a079,6439,False,,,,,False,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_79'
task133,P0_lt16,21278,15.034571,work/new_public_kernel_outputs/20260612/seddiktrk_surgical_onnx_precision_parameter_reduction/submission.zip::submission/overrides/task133.onnx,zip,submission/overrides/task133.onnx,9edf1c3c55da43a4713afa308b0dcec5affdbcfc32263e788c14b8caa98cea89,24471,False,,,,,False,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Sub(14) node with name 'safe_name_196'
task133,P0_lt16,21278,15.034571,work/more_public_sources_flat/thbdh5765_6285_35_lb_neurogolf_verified_merge/task133__0.onnx,file,,6db33efb986ee37b64870f231654ffc0790e47476c44aea9056b44d2330c8e44,24587,False,,,,,False,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Sub(14) node with name 'safe_name_200'
task133,P0_lt16,21278,15.034571,work/after7113_extract/vyankteshdwivedi_neurogolf_6425_76/task133.onnx,file,,02b198c34479cff2ba43353044b9166469f082c2f857a386aabcab90c75ee456,37050,False,,,,,False,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Mul(14) node with name 'safe_name_62'
task133,P0_lt16,21278,15.034571,work/public-datasets/massi_6208/task133.onnx,file,,3a19c0cdbb2bcc44c378990c45cd8ca20a72e248d91e4fc9c75bedfc5076a62c,65902,True,713472,11.522101528038489,692194,-3.512469471961511,False,
task133,P0_lt16,21278,15.034571,work/hf-neurogolf/submission/task133.onnx,file,,3e16d045b7b76fba661905ab539eb33e81b249035a3aa90b8084b88a646518dc,67995,False,99703,13.49004895423196,,,False,
task133,P0_lt16,21278,15.034571,work/final-direct-official-high-v10/task133.onnx,file,,073ba6898ff7a31c61b65b66c9fa8c48699a278b7520015e981f4909b9f13232,189849,True,193923,12.824783547959548,172645,-2.2097874520404517,False,
task133,P0_lt16,21278,15.034571,work/comprehensive-blend/task133.onnx,file,,956a4bf42a8ec400cc80fa65db7ce0e26dca9775734341d99d7a63ea9b091223,190049,False,,,,,False,ValueError: official scorer rejected model
task133,P0_lt16,21278,15.034571,work/public-kernel-outputs/nadeem_6130/submission.zip::task133.onnx,zip,task133.onnx,213c2bae5bb0b97aaa99643649e15929d8b57921fd5adf171965fcb8d76cf58f,193220,True,9133122,8.972581856263645,9111844,-6.061989143736355,False,
task133,P0_lt16,21278,15.034571,work/after7113_extract/mirzayasirabdullah07_top_score_neurogolf_championship_notebook/task133.onnx,file,,6ccb57c3810dc0c3b6f064c5e119e90c2385d4820e00ac2839ca00b113ab2b02,193328,True,9133202,8.972573096975243,9111924,-6.061997903024757,False,
task133,P0_lt16,21278,15.034571,work/candidate_sources/haoran_6100_h_fp16_surgery/task133.onnx,file,,1d1fd655f965c8f9e4691880edbf5d7c22dae218eeb4d9a174fb4178f4b10caf,440296,False,,,,,False,ValueError: official scorer rejected model
task133,P0_lt16,21278,15.034571,work/candidate_sources/haoran_6100_h_fp16_surgery_v2/task133.onnx,file,,e74dcc7f56c5c26ebee25067208e4c2934f9a482f01c025977b276d59b593639,441097,False,,,,,False,ValueError: official scorer rejected model
task133,P0_lt16,21278,15.034571,work/beicicc-6233.zip::submission/task133.onnx,zip,submission/task133.onnx,2901a7219bca2ce7cafd1cc93ee3d72731badd6e990760243434fd7aff63d34b,775725,False,,,,,False,ValueError: official scorer rejected model
task133,P0_lt16,21278,15.034571,work/more_public_sources_flat/rajathrpai_neurogolf_2026_6276_41_hybrid_submission/task133__0.onnx,file,,68e935d47ff7110c296807cc69b18b2efbc09be9b69b5f9ed14c010b2ea21c94,783434,True,9344642,8.949686311118306,9323364,-6.084884688881694,False,
task002,P0_lt16,14285,15.433035,work/public-kernel-outputs/latest_lucifer_1101/submission.zip::task002.onnx,zip,task002.onnx,2ffdd0d1008d7305a95cec168c495fa6e58dfafa2196f72f083eb0bbec26c256,5873,True,14285,15.433034685335127,0,-3.1466487371289986e-07,False,
task002,P0_lt16,14285,15.433035,work/candidate_sources/haoran_6100_h_fp16_surgery/task002.onnx,file,,6d149facc6725c9935d0b6d71bc2c336f97c7770e678c9108cddcc212bc35812,11771,True,115693,13.341304589944965,101408,-2.0917304100550353,False,
task002,P0_lt16,14285,15.433035,work/candidate_sources/haoran_6100_h_fp16_surgery_v2/task002.onnx,file,,6fa5d8fff14a402289457133d2a7109699b64eadf75db6c4d387b28b79f9e73d,11774,True,115693,13.341304589944965,101408,-2.0917304100550353,False,
task002,P0_lt16,14285,15.433035,work/tasklib.zip::submission/task002.onnx,zip,submission/task002.onnx,f5310af76c4c138f07be633a42602dd5725c54deaf1607da1d26c44c41047af6,12396,True,501391,11.874858485195494,487106,-3.558176514804506,False,
task002,P0_lt16,14285,15.433035,work/public-datasets/jvlegend_v136/task002.onnx,file,,8cdfa6107e30e80e0a3ca9f4b00d9ce6b4eab7f2bdc2ed5e644f6539ac620e8a,12563,False,,,,,False,ValueError: official scorer rejected model
task002,P0_lt16,14285,15.433035,work/final-v164-direct-ryosuke726683-on-v159/task002.onnx,file,,d97c7d47649ea943c35c7062a4e257c0fe467a4fc308c6df870ddabf94f39e94,12833,True,14285,15.433034685335127,0,-3.1466487371289986e-07,False,
task002,P0_lt16,14285,15.433035,work/final-v128-frank723731-plus-prv4/task002.onnx,file,,371d6bb5ff9574aa4ba3ce02e970d77b1dc9532e1bde3147897ab6b3097c51cd,12838,True,14610,15.410538495255254,325,-0.02249650474474585,False,
task002,P0_lt16,14285,15.433035,work/final-v139-latest-urad-frank-on-v138/task002.onnx,file,,f1e1cdaea62876e375e022659e2b750adff8dacd29f672c0b388988e2fb93707,12848,True,14608,15.41067539716525,323,-0.022359602834750802,False,
task002,P0_lt16,14285,15.433035,work/final-v38-bool-cast-mul-fuse/task002.onnx,file,,29fca4004a31fc342e10cc20d4178b056029e7509519d7b78c461d75ed1ad8f1,12901,True,97212,13.515350560381508,82927,-1.9176844396184922,False,
task002,P0_lt16,14285,15.433035,work/final-v150-leading-squeeze-on-v149/task002.onnx,file,,45a5e0ebf301b5e7dd2645176f7efb0886a8f5fd1fb6bcfe900bc21bb6165e23,13153,True,14605,15.41088078517816,320,-0.022154214821840768,False,
task002,P0_lt16,14285,15.433035,work/neurogolf2026-6254.zip::submission/task002.onnx,zip,submission/task002.onnx,061d2e2653a43e3b6ab1a7b4546a48b6ffa65b23790106ab1742676020c96040,14560,True,97293,13.514517676859928,83008,-1.9185173231400725,False,
task002,P0_lt16,14285,15.433035,work/more_public_sources_flat/rajathrpai_neurogolf_2026_6276_41_hybrid_submission/task002__0.onnx,file,,4c3205c0141934e8750b205f87c8622ebfd80d2fce3c665797e3b1dd39c1d0b5,15506,True,97693,13.5104148124377,83408,-1.9226201875623001,False,
task002,P0_lt16,14285,15.433035,work/beicicc-6233.zip::submission/task002.onnx,zip,submission/task002.onnx,cb69f2b8ee02634094e75d09ee4ac24fa6718b082878554d7ab2168ee26b605e,61376,False,,,,,False,ValueError: official scorer rejected model
task002,P0_lt16,14285,15.433035,work/public-datasets/afr1ste_6323/task002.onnx,file,,127637e76e0a3235665d0d537e01a581e59e05ee48e60a0d7fbcc7df2ba2b1d6,61376,False,,,,,False,ValueError: official scorer rejected model
task002,P0_lt16,14285,15.433035,work/hf-neurogolf/submission/task002.onnx,file,,745ce11fee1cce13bf94f55557e30fe81ce670102827eaec5608c52fbafc2642,250395,False,145303,13.1134235037174,,,False,
task243,P0_lt16,13654,15.478212,work/public-kernel-outputs/dimple_neurogolf/submission.zip::task243.onnx,zip,task243.onnx,e789223ce2fed68fd343ba33df67c9ce94107dd803dfd1ca4e368afa0b1eb349,24522,True,711932,11.524262319784818,698278,-3.9539496802151817,False,
task243,P0_lt16,13654,15.478212,work/hf-neurogolf/submission/task243.onnx,file,,25421ae4df451587a34d7785de1276f005b6406d5b54ada6c23c0cac16531c57,32795,False,90903,13.582451717078698,,,False,
task243,P0_lt16,13654,15.478212,work/public-kernel-outputs/latest_lucifer_1101/submission.zip::task243.onnx,zip,task243.onnx,07dd384f090b8c0420a7f0e53ced4ff3c486d48ca42c0c74399bf15bc4f1d827,98760,False,,,,,False,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Greater(13) node with name 'safe_name_2580'
task243,P0_lt16,13654,15.478212,work/final-v169-direct-latest-1243-on-v168/task243.onnx,file,,8f718482451557217dc0791fa8e21266c70a6162a2b0ef050b7e44869c77fb4d,118579,False,,,,,False,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Greater(13) node with name 'safe_name_1911'
task243,P0_lt16,13654,15.478212,work/final-v128-frank723731-plus-prv4/task243.onnx,file,,1cc16c6523a0607d472f454765742c9aa5e6efc48893ba3af3211682528e87b9,159448,False,,,,,False,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Greater(13) node with name 'safe_name_3463'
task243,P0_lt16,13654,15.478212,work/next_outputs/udit_7237_17/submission.zip::task243.onnx,zip,task243.onnx,204687e8923acd9f354867d1201b94a2e485594a218008f1450799c84d1ed17c,159522,False,,,,,False,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Greater(13) node with name 'safe_name_3465'
task243,P0_lt16,13654,15.478212,work/final-v164-direct-ryosuke726683-on-v159/task243.onnx,file,,bad5aefd81990fbf76ab66bfd8342fac9f4b0d83bee298f5fa6f2cfbf2beaceb,161283,False,,,,,False,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Greater(13) node with name 'safe_name_2580'
task243,P0_lt16,13654,15.478212,work/final-v150-leading-squeeze-on-v149/task243.onnx,file,,10c049d4ae67804670fb66ede6cc3e225a9a4d32bac786918b803a68e807c9e3,276300,False,,,,,False,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Greater(13) node with name 'safe_name_2654'
task173,P0_lt16,13383,15.498259,work/public-kernel-outputs/latest_lucifer_1101/submission.zip::task173.onnx,zip,task173.onnx,e44f3c3126e8b6898660a50f8ed5a98f1d18d88eeac39f4e05740a37721924b6,3806,False,,,,,False,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'safe_name_53'
task173,P0_lt16,13383,15.498259,work/final-v95-small-safe-on-v94/task173.onnx,file,,76f0ebec99db8d3def2d9c984be6f676334aee606adc067bb8349e2c30f97f03,27121,True,91752,13.573155435955641,78369,-1.925103564044358,False,
task173,P0_lt16,13383,15.498259,work/v99-greater-on-bg-candidates/task173.onnx,file,,646df08e90a7d1a6d4e6f9ea0a4ff12f58ff3aae33e63b175b3eb5d5b73b6ffa,27425,True,91752,13.573155435955641,78369,-1.925103564044358,False,
task173,P0_lt16,13383,15.498259,work/v89-mechanical-on-v88-candidates/basic/task173.onnx,file,,40a628add2c435c08d3afde9375a277130270a10bde453cf3e335caeaa97a74f,27506,True,92424,13.565858035837145,79041,-1.932400964162854,False,
task173,P0_lt16,13383,15.498259,work/final-v93-bypass-expand-tile-on-v92/task173.onnx,file,,9160820ccdd6b0e08be8067e4fdd7dac645c7f5250dd73d6d8841164781e1283,27509,True,92424,13.565858035837145,79041,-1.932400964162854,False,
task173,P0_lt16,13383,15.498259,work/final-v86-bypass-expand-tile-probe/task173.onnx,file,,afd4facf9e9e5a6875da1cd2e9c68e7d7741b7c811a3bfc78bcc611b63c887a5,27732,True,94244,13.54635755719361,80861,-1.9519014428063883,False,
task173,P0_lt16,13383,15.498259,work/v92-greater-half-on-v91-candidates/task173.onnx,file,,89cdb7eadd1a869b977789f608c65918df4154b727f9d7590144f0768bb8c465,27813,True,92424,13.565858035837145,79041,-1.932400964162854,False,
task173,P0_lt16,13383,15.498259,work/final-v87-greater-half-probe/task173.onnx,file,,b268e6be28a82e384e23f019544119cd258c97cbe60e23546dc737e436ca224b,27892,True,94228,13.546527343687503,80845,-1.9517316563124965,False,
task173,P0_lt16,13383,15.498259,work/v94-zero-arith-on-v93-candidates/task173.onnx,file,,dd86d3dfbd3388f4031e6ca38808349228a3698e920a592466abfb06b963f945,28333,False,,,,,False,ValueError: official scorer rejected model
task173,P0_lt16,13383,15.498259,work/hf-neurogolf/submission/task173.onnx,file,,f760cf926463e2bdde8fb2adcccc9fc3cdc78b6b7c90b61719d1ed863acf5686,67995,False,99703,13.49004895423196,,,False,
task145,P0_lt16,12855,15.538512,work/public-kernel-outputs/latest_lucifer_1101/submission.zip::task145.onnx,zip,task145.onnx,7bd757710a6b8f0b411c386d80430dcd0e75232f62b48ce1df686085fb3265e7,1628,False,,,,,False,ValidationError: Your model ir_version 13 is higher than the checker's (12).
task145,P0_lt16,12855,15.538512,work/public-kernel-outputs/latest_jcoletti_merged91/submission.zip::task145.onnx,zip,task145.onnx,caf1e6488d2ce94e82d9c4e5b005b66e8e6320b0a89bb2b8981f6b8bfcd4edbc,2551,False,,,,,False,ValidationError: Your model ir_version 13 is higher than the checker's (12).
task145,P0_lt16,12855,15.538512,work/neurogolf2026-6254.zip::submission/task145.onnx,zip,submission/task145.onnx,22681d1e38fd9b4a50619a4900134ac568081a0007d313598a2d4a001a12a65b,31434,True,73357,13.796906788126128,60502,-1.741605211873873,False,
task145,P0_lt16,12855,15.538512,work/onnxsim-optimizations/task145.onnx,file,,0d6aa35186453aacdf53518d2729e64dd6fa946a10282329604f68fc97df35d8,31540,True,69757,13.847226946929018,56902,-1.6912850530709829,False,
task145,P0_lt16,12855,15.538512,work/datasets/afr5501/task145.onnx,file,,d72dceb6194309a6a7be7e21b71731600fb57f953d5c72cd03c9105fe1ea1d74,32048,True,134980,13.187118101702602,122125,-2.351393898297399,False,
task145,P0_lt16,12855,15.538512,work/beicicc-6233.zip::submission/task145.onnx,zip,submission/task145.onnx,664226f27699574b2e59ac06ed953280c9c2e190f2b3b54ca09c592e10ee327f,32694,False,,,,,False,ValueError: official scorer rejected model
task145,P0_lt16,12855,15.538512,work/datasets/google_neurogolf_public/task145.onnx,file,,e371880e7966ef2724c327cebb6e4cd5c5a37cf1cc4161e844afc9970f2efc9b,113375,True,608061,11.68196951513694,595206,-3.856542484863061,False,
task145,P0_lt16,12855,15.538512,work/hf-neurogolf/submission/task145.onnx,file,,946457a0dc6d7db159a1e0f35f6611177cb119a4cf73bec3465424d8fb9d4761,144795,False,118903,13.313936686352635,,,False,
task074,P0_lt16,9050,15.88948,work/public-kernel-outputs/latest_lucifer_1101/submission.zip::task074.onnx,zip,task074.onnx,6f1686a116a3d95b349c0ddbbd3739b4daeed72bda5365fde531b73b35035d34,1581,False,,,,,False,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'output'
task074,P0_lt16,9050,15.88948,work/final-v169-direct-latest-1243-on-v168/task074.onnx,file,,7c6770b01fbde8054bb2ca483221f1a13b69f7c8eb4888411f6bc833894b89f8,15145,False,,,,,False,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Equal(13) node with name 'output'
task074,P0_lt16,9050,15.88948,work/hf-neurogolf/submission/task074.onnx,file,,9489fec671ca87678e47232d604430c52af6c9b436ebe60828c6e79a3b3ec18b,116106,False,144111,13.121660885047959,,,False,
task219,P0_lt16,8739,15.924449,work/public-kernel-outputs/latest_lucifer_1101/submission.zip::task219.onnx,zip,task219.onnx,3007c4b869c46b3c167e6b20c2ec6f1181b5317502288c5d49331299dfee39b8,7209,False,,,,,False,NotImplemented: [ONNXRuntimeError] : 9 : NOT_IMPLEMENTED : Could not find an implementation for Mul(14) node with name 'safe_name_32'
task219,P0_lt16,8739,15.924449,work/final-v38-bool-cast-mul-fuse/task219.onnx,file,,4f91abe20b895cebde0ec162583b00af353c16ac441b0178bc7440ffb41a069c,17629,True,79301,13.718993982116091,70562,-2.2054550178839083,False,
task219,P0_lt16,8739,15.924449,work/final-v26-vyank-v23/task219.onnx,file,,48c1707fc8ef49428a22da605111bc2383903684df9dba72d2e4f83b1395ac0b,17754,True,82301,13.68186146274037,73562,-2.242587537259629,False,
task219,P0_lt16,8739,15.924449,work/slice-bypass-v28-candidates/task219.onnx,file,,9b7b1be9ff0e124df15c950dec231170a209c3b6a3b049d803fca35ca750b4da,17999,True,82304,13.681825011842763,73565,-2.242623988157236,False,
task219,P0_lt16,8739,15.924449,work/mechanical-optimizations/initializer/task219.onnx,file,,1f27b85814f4ad6ab1d630ec8d7457d09e84f884ec52819ded54b618498ccd3f,18356,True,82450,13.680052672012255,73711,-2.2443963279877437,False,
task219,P0_lt16,8739,15.924449,work/more_public_sources_flat/galaxy2025_neurogolf_public_artifact_v1/task219__0.onnx,file,,5a2a516ffbefad5f13a40e3f7a1af5e8f57f5c7747fd33e1c9600114f9afa027,18362,True,84727,13.652810398019943,75988,-2.2716386019800563,False,
task219,P0_lt16,8739,15.924449,work/after7113_extract/kokinnwakashuu_neurogolf_6503_44_task149_cost136/task219.onnx,file,,bd45721ac88833923584d41c91f4b022b0102e443d3c7dd5ec6d7e2a3d4afbb7,18964,True,84876,13.65105335317601,76137,-2.273395646823989,False,
task219,P0_lt16,8739,15.924449,work/artifacts/6255-dead-pruned/task219.onnx,file,,dcb6483f7b6e1e773f3d7e0c8ee79fe817f0fa14654cb3b60c1c4b37069b2cf6,21774,True,85058,13.64891134428329,76319,-2.2755376557167093,False,
task219,P0_lt16,8739,15.924449,work/neurogolf2026-6254.zip::submission/task219.onnx,zip,submission/task219.onnx,d57f742eeae01c44819c92cb474062dbcba00db96b32ed99363a677479b2e02f,21947,True,85184,13.647431098245217,76445,-2.277017901754782,False,
task219,P0_lt16,8739,15.924449,work/artifacts/relaxed-dead-pruned/task219.onnx,file,,ce45d7747d204927101f5dad90ab3055a75f94863bd02b1dcc4b4060164e4a51,21964,True,85039,13.649134746225464,76300,-2.2753142537745354,False,
task219,P0_lt16,8739,15.924449,work/artifacts/6254-relaxed-downgrade/task219.onnx,file,,2fc5a56e011b72cf63ca2ebc777ac2e0bb6cad0bdcd4c136e97a935a1eb503cb,21999,True,85159,13.64772462366369,76420,-2.2767243763363094,False,
task219,P0_lt16,8739,15.924449,work/after7113_extract/kokinnwakashuu_neurogolf_6425_11_self_task286_reach38/task219.onnx,file,,ccf607dd4565f43798e7b470ff1dab8b6322012bf2b13e537d53dccaab8c3276,25122,True,57114,14.04719545052064,48375,-1.8772535494793594,False,
task219,P0_lt16,8739,15.924449,work/user_6300_zip1/task219.onnx,file,,854acd1a2ce7c7a40d2980e91261ba780fe1e7e0ed23faeae604c9986206456e,26635,True,79327,13.718666171134009,70588,-2.20578282886599,False,
task219,P0_lt16,8739,15.924449,work/onnxsim-optimizations/task219.onnx,file,,2c4c60365daa12b8e365bbe2e95486754460e317fcd58afe923e7bbf7f22f525,27666,True,82450,13.680052672012255,73711,-2.2443963279877437,False,
task219,P0_lt16,8739,15.924449,work/more_public_sources_flat/kojimar_6275_09_lb_audited_neurogolf_onnx_overrides/task219__0.onnx,file,,5e8a8092eeb5b9a68eaa90b9aaea48eee4dfcab6c84225502a6a6871b7177e19,28326,True,84727,13.652810398019943,75988,-2.2716386019800563,False,
task219,P0_lt16,8739,15.924449,work/more_public_sources_flat/wguesdon_6315_04_lb_neurogolf_audited_base_grafts/task219__0.onnx,file,,75529408e13311385d7919c819ea86751f7bb99102a511b469f645a2fa71e957,32405,True,62085,13.963740307149058,53346,-1.9607086928509414,False,
task219,P0_lt16,8739,15.924449,work/beicicc-6233.zip::submission/task219.onnx,zip,submission/task219.onnx,9c6f278a7dc89c634ecb7dd95bcc9d1ef17fe88dad190e5ffc24f4b2beed8f66,59685,True,48138,14.218172835018288,39399,-1.7062761649817109,False,
task219,P0_lt16,8739,15.924449,work/public-datasets/afr1ste_6323/task219.onnx,file,,6e5cd657b62c80511d57e08b97cb9d15da29a2d7bfb76e458b83a869ec05a64b,59685,True,48138,14.218172835018288,39399,-1.7062761649817109,False,
task219,P0_lt16,8739,15.924449,work/after7113_extract/zoli800_neurogolf_6446_65_submit/task219.onnx,file,,8c653d3429a92dc01f8f3270eb8747b2fe91e89848c1e9fbc8fc12e11675ef29,59697,True,47688,14.227564927100238,38949,-1.6968840728997616,False,
task219,P0_lt16,8739,15.924449,work/comprehensive-blend/task219.onnx,file,,230cc70d088166ef2116ca0743dcc82e2af61a8fbd1195dffd286ca58048ae20,59955,False,,,,,False,ValueError: official scorer rejected model
task219,P0_lt16,8739,15.924449,work/public-datasets/massi_6208/task219.onnx,file,,11a758e659d2bb09904d1bd48165847c4bb78f8ac4e5485a3e23c3b668674398,66945,True,12736775,8.6399959636544,12728036,-7.2844530363455995,False,
task219,P0_lt16,8739,15.924449,work/more_public_sources_flat/rajathrpai_neurogolf_2026_6276_41_hybrid_submission/task219__0.onnx,file,,f042340d7b269af4b35437a41d3094074b91fd8778477f3b3fcd20966a535f12,87016,True,15842765,8.421776512802126,15834026,-7.502672487197874,False,
